tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
9.9815e+02	9.9815e+02	Years Cal BP	11.5	346.5	68.3	29	47.1004	95.3755	7	7	0	6.7910	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	LOW	Site VGP, coord system = 100 component: MID	0	21.2	15.0	80.2	36.9	7
9.9815e+02	9.9815e+02	Years Cal BP	11.7	61.2	-73.9	28	47.1004	95.3755	7	7	0	6.7819	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	MAG	Site VGP, coord system = 100 component: MID	0	28.7	15.3	-28.1	245.6	7
9.9815e+02	9.9815e+02	Years Cal BP	50.0	148.8	-68.2	2	47.1004	95.3755	7	7	0	4.5139	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	HEM	Site VGP, coord system = 100 component: MID	0	91.6	65.2	-69.4	208.8	7
9.9815e+02	9.9815e+02	Years Cal BP	17.4	170.0	58.9	13	47.1004	95.3755	7	7	0	6.5364	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	LOW	Site VGP, coord system = 100 component: MID	100	22.9	22.7	-2.8	103.1	7
9.9815e+02	9.9815e+02	Years Cal BP	14.8	20.3	-49.0	17	47.1004	95.3755	7	7	0	6.6567	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	MAG	Site VGP, coord system = 100 component: MID	100	15.4	19.3	10.8	257.5	7
9.9815e+02	9.9815e+02	Years Cal BP	44.1	17.7	-56.3	3	47.1004	95.3755	7	7	0	4.8744	i		This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z30	HEM	Site VGP, coord system = 100 component: MID	100	54.1	57.5	4.6	261.3	7
9.9815e+02	9.9815e+02	Years Cal BP	3.6	0.1	64.9	235	47.1005	95.3760	8	8	0	7.9703	i		This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z31	LOW	Site VGP, coord system = 100 component: MID	0	5.8	4.7	89.8	259.1	8
9.9815e+02	9.9815e+02	Years Cal BP	3.8	168.1	-72.2	219	47.1005	95.3760	8	8	0	7.9680	i		This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z31	MAG	Site VGP, coord system = 100 component: MID	0	8.5	5.0	-77.5	244.4	8
9.9815e+02	9.9815e+02	Years Cal BP	15.9	158.4	64.5	13	47.1005	95.3760	8	8	0	7.4667	i		This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z31	LOW	Site VGP, coord system = 100 component: MID	100	25.1	20.7	5.3	110.2	8
9.9815e+02	9.9815e+02	Years Cal BP	11.7	350.4	-61.6	23	47.1005	95.3760	8	8	0	7.7018	i		This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z31	MAG	Site VGP, coord system = 100 component: MID	100	16.7	15.3	-0.3	282.4	8
